country,official_lang,regional_lang,minority_lang,national_lang,widely_spoken_lang
Abkhaziaa,"['Abkhaz', 'Russian']",,['Georgian'],['Abkhaz'],
Afghanistan,"['Persian', 'Pashto']","['Uzbek', 'Turkmen', 'Pashayi', 'Nuristani', 'Balochi', 'Pamiri']",,"['Persian', 'Pashto']",['Persian']
Albania,['Albanian'],,"['Greek', 'Macedonian', 'Aromanian']",,['Italian']
Algeria,"['Arabic', 'Tamazight']",,,"['Arabic', 'Tamazight']",['French']
Andorra,['Catalan'],,"['Spanish', 'French', 'Portuguese']",,
Angola,['Portuguese'],,,"['Kimbundu', 'Umbundu', 'Kikongo', 'Chokwe', 'Kwanyama', 'Ganguela']",['Angolan Portuguese']
AntiguaandBarbuda,['English'],,,,['Antiguan and Barbudan Creole']
Argentina,['None'],"['Spanish', 'Guaraní', 'Kom', 'Moquoit', 'Wichi']",,,['Argentine Spanish']
Armenia,['Armenian'],,,['Armenian'],
Artsakha,"['Armenian', 'Russian']",,,,
Australia,['None'],['Norfuk language'],,,
Austria,['German'],"['Burgenland Croatian', 'Hungarian', 'Slovene']","['Slovene', 'Czech', 'Hungarian', 'Slovak', 'Romani', 'Serbian']",['German'],
Azerbaijan,['Azerbaijani'],,,['Azerbaijani'],
Bahamas,['English'],,,,
Bahrain,['Arabic'],,['English'],,
Bangladesh,['Bengali'],['Syloti'],,"['Bengali, Syloti']",['English']
Barbados,['English'],,,,
Belarus,"['Belarusian', 'Russian']",,,['Belarusian'],
Belgium,"['Dutch', 'French', 'German']","['Dutch', 'French', 'German']",,,
Belize,['English'],['Spanish'],,,['Kriol']
Benin,['French'],,,,
Bhutan,['Dzongkha'],,,,
Bolivia,"['Castilian', 'Aymara', 'Araona', 'Baure', 'Bésiro', 'Canichana', 'Cavineño', 'Cayubaba', 'Chácobo', 'Chimán', 'Ese Ejja', 'Guaraní', ""Guarasu'we"", 'Guarayu', 'Itonama', 'Leco', 'Machajuyai-Kallawaya', 'Machineri', 'Maropa', 'Mojeño-Ignaciano', 'Mojeño-Trinitario', 'Moré', 'Mosetén', 'Movima', 'Pacawara', 'Puquina', 'Quechua', 'Sirionó', 'Tacana', 'Tapieté', 'Toromona', 'Uru-Chipaya', 'Weenhayek', 'Yaminawa', 'Yuki', 'Yuracaré', 'Zamuco']",,,,
BosniaandHerzegovina,['None'],,,,
Botswana,['English'],,,['Tswana'],"['Other Bantu languages', 'Several Khoisan languages']"
Brazil,['Portuguese'],"['German', 'East Pomeranian', 'Riograndenser Hunsrückisch', 'Talian', 'Nheengatu, Baniwa, Tucano', 'Guaraní']",,['Portuguese'],
Brunei,"['Malay', 'English']",,,,
Bulgaria,['Bulgarian'],,,,
BurkinaFaso,['French'],,,"['Fula', 'Jula', 'More']",
Burundi,"['French', 'Kirundi', 'English']",,,['Kirundi'],['Swahili']
Cambodia,['Khmer'],,,,
Cameroon,"['English', 'French']",,,,
Canada,"['English', 'French']","['Chipewyan', 'Cree', ""Gwich'in"", 'Inuinnaqtun', 'Inuktitut', 'Inuvialuktun', 'North Slavey', 'South Slavey', 'Tłı̨chǫ']","['Chipewyan', 'Cree', ""Gwich'in"", 'Inuinnaqtun', 'Inuktitut', 'Inuvialuktun', 'North Slavey', 'South Slavey', 'Tłı̨chǫ']",,
CapeVerde,['Portuguese'],,,['Cape Verdean Creole'],
CentralAfricanRepublic,"['French', 'Sango']",,,,
Chad,"['Arabic', 'French']",,,,
Chile,['Chilean Spanish'],,,['Chilean Spanish'],
China,['Mandarin Chinese'],"['English', 'Portuguese']","['Mongolian', 'Uyghur', 'Tibetan', 'Zhuang', 'Kazakh', 'Korean']",,['Other Sinitic languages']
ChristmasIsland,"['English, Mandarin Chinese, Malay']",,,,
CocosKeelingIslands,"['English, Cocos Malay']",,,,['Malay']
Colombia,['Spanish'],,,,
Comoros,"['Arabic', 'Comorian', 'French']",,,,
DemocraticRepublicoftheCongo,['French'],,"['Lingala', 'Kikongo']","['Swahili', 'Tshiluba']",
RepublicoftheCongo,['French'],,"['Lingala', 'Munukutuba']",,
CookIslands,"['English, Cook Islands Māori']",,,,
CostaRica,['Spanish'],,"['Indigenous languages', 'Limonese Creole']",,
Croatia,['Croatian'],"['Serbian', 'Hungarian', 'Czech', 'Slovak', 'Pannonian Rusyn', 'Istro-Romanian']",,"['Italian', 'Romani', 'Slovene']",
Cuba,['Spanish'],,,,
Cyprus,"['Greek', 'Turkish']",,,"['Armenian', 'Cypriot Arabic']",['English']
CzechRepublic,"['Czech', 'Slovak']",,"['Belarusian', 'Bulgarian', 'Croatian', 'German', 'Greek', 'Hungarian', 'Polish', 'Romani', 'Russian', 'Rusyn', 'Serbian', 'Ukrainian', 'Vietnamese']",['Czech'],
Denmark,['Danish'],"['Faroese', 'Kalaallisut']",['German'],,['English']
Djibouti,"['Arabic', 'French']",,,,
Dominica,['English'],,,,
DominicanRepublic,['Spanish'],,,,
EastTimor,"['Portuguese', 'Tetum']",,,,
Ecuador,"['Spanish', 'Quechua']",,"['Kichwa', 'Shuar']",,
Egypt,['Arabic'],,,,['Egyptian Arabic']
ElSalvador,['Spanish'],,,,
EquatorialGuinea,"['French', 'Portuguese', 'Spanish']",,,,
Eritrea,['Tigrinya'],,,,"['Arabic', 'Italian']"
Estonia,['Estonian'],,,,"['English, Russian']"
Eswatini,"['English', 'Swazi']",,,,
Ethiopia,"['Afar', 'Amharic', 'Oromo', 'Somali', 'Tigrinya']",,,"['Afar', 'Amharic', 'Benshangul', 'Gumuz', 'Harari', 'Kunama', 'Oromo', 'Sidamo', 'Somali', 'Tigrinya']",
Fiji,"['English', 'Fijian', 'Fiji Hindi']",,,,
Finland,"['Finnish', 'Swedish']",,['Sami'],"['Finnish', 'Swedish']",
France,['French'],,"['Corsican language', 'Basque language', 'Breton language']",,['Occitan language']
Gabon,['French'],,,,
Gambia,['English'],,,,
Georgia,['Georgian'],,,,
Germany,['German'],"['Danish', 'Lower Sorbian', 'North Frisian', 'Saterland Frisian', 'Upper Sorbian', 'German Sign Language', 'Low German']","['Danish', 'Lower Sorbian', 'North Frisian', 'Romani', 'Upper Sorbian']",,
Ghana,['English'],"['Fante', 'Asante Twi', 'Akuapem Twi', 'Adangme', 'Dagaare', 'Dagbani', 'Ewe', 'Ga', 'Gonja', 'Kasem', 'Nzema']",,,
Greece,['Greek'],,,,
Grenada,['English'],,,,
