country,pop,pop_world (percent),pop_date,official_lang,regional_lang,minority_lang,national_lang,widely_spoken_lang
China,1411750000,17.6,2022-12-31,['Mandarin Chinese'],"['English', 'Portuguese']","['Mongolian', 'Uyghur', 'Tibetan', 'Zhuang', 'Kazakh', 'Korean']",,['Other Sinitic languages']
India,1375586000,17.2,2022-03-01,"['Hindi', 'English']","['22 official languages - Assamese, Bengali, Bodo, Dogri, Gujarati, Hindi, Kannada, Kashmiri, Konkani, Maithili, Malayalam, Meitei , Marathi, Nepali, Odia , Punjabi, Sanskrit, Santali, Sindhi, Tamil, Telugu, and Urdu.']",['see Languages of India'],,['see List of languages by number of native speakers in India']
Indonesia,275773800,3.44,2022-07-01,['Indonesian'],"['Malay', 'Javanese']",,"['Indonesian', 'Malay']","['Malay', 'Javanese', 'Indonesian', 'Sundanese', 'Madurese', 'Minangkabau', 'see 700 More Languages in Indonesia']"
Pakistan,235825000,2.94,2022-07-01,"['Urdu', 'English']",,,['Urdu'],"['Punjabi', 'Balochi', 'Sindhi', 'Pashto']"
Nigeria,218541000,2.73,2022-07-01,['English'],,,"['Hausa', 'Yoruba', 'Igbo', 'Tiv']",
Brazil,215830012,2.69,2023-02-28,['Portuguese'],"['German', 'East Pomeranian', 'Riograndenser Hunsrückisch', 'Talian', 'Nheengatu, Baniwa, Tucano', 'Guaraní']",,['Portuguese'],
Bangladesh,169828911,2.12,2022-06-15,['Bengali'],['Syloti'],,"['Bengali, Syloti']",['English']
Russia,146424729,1.83,2023-01-01,['Russian'],,,,
Mexico,128665641,1.61,2022-09-30,['None'],,,['68 National languages'],
Japan,124630000,1.55,2023-02-01,['None'],,,['Japanese'],
Philippines,110515406,1.38,2023-02-07,"['Filipino', 'English']","['Aklanon', 'Bikol', 'Cebuano', 'Chavacano', 'Hiligaynon', 'Ibanag', 'Ilocano', 'Ivatan', 'Kapampangan', 'Kinaray-a', 'Maguindanao', 'Maranao', 'Pangasinan', 'Sambal', 'Tagalog', 'Tausug', 'Waray', 'Yakan']",['Arabic Spanish'],"['Tagalog', 'Filipino Sign Language']",
Ethiopia,105163988,1.31,2022-07-01,"['Afar', 'Amharic', 'Oromo', 'Somali', 'Tigrinya']",,,"['Afar', 'Amharic', 'Benshangul', 'Gumuz', 'Harari', 'Kunama', 'Oromo', 'Sidamo', 'Somali', 'Tigrinya']",
Egypt,104502486,1.3,2023-02-28,['Arabic'],,,,['Egyptian Arabic']
Vietnam,99460000,1.24,2022-07-01,['Vietnamese'],,"['Cantonese', 'Cham', 'Hmong', 'Khmer', 'Lao', 'Muong', 'Rade', 'Tay', 'Thai', 'Vietnamese sign languages']",['Vietnamese'],
Iran,86228412,1.08,2023-02-28,['Persian'],,,['Persian'],"['Azerbaijani', 'Kurdish', 'Luri', 'Gilaki', 'Mazanderani', 'Balochi', 'Arabic', 'Qashqai', 'Tati', 'Turkmeni']"
Turkey,85279553,1.06,2022-12-31,['Turkish'],,['Kurdish'],['Turkish'],
Germany,84270625,1.05,2022-09-30,['German'],"['Danish', 'Lower Sorbian', 'North Frisian', 'Saterland Frisian', 'Upper Sorbian', 'German Sign Language', 'Low German']","['Danish', 'Lower Sorbian', 'North Frisian', 'Romani', 'Upper Sorbian']",,
France,68042591,0.849,2023-01-01,['French'],,"['Corsican language', 'Basque language', 'Breton language']",,['Occitan language']
Thailand,66900130,0.835,2023-02-28,['Thai'],,,,
Tanzania,61741120,0.77,2022-08-23,"['Swahili', 'English']",,,['Swahili'],
Italy,58887359,0.735,2022-10-31,['Italian'],"['French', 'Franco-Provençal', 'Occitan', 'German', 'Ladin', 'Friulian', 'Slovene', 'Albanian/Arbereshe', 'Sardinian', 'Corsican', 'Two dialects of Greek, Griko  and Calabrian Greek']","['Ladin', 'Slovene']",,['Other Italo-Dalmatian languages']
Colombia,51049498,0.637,2021-06-30,['Spanish'],,,,
Spain,47615034,0.594,2022-07-01,['Spanish'],"['Catalan', 'Galician', 'Occitan', 'Basque']","['Astur-Leonese', 'Aragonese', 'Fala', 'French', 'Portuguese']",,
Kenya,47564296,0.593,2019-08-31,"['English', 'Swahili']",,,['Swahili'],
Argentina,46044703,0.574,2022-05-18,['None'],"['Spanish', 'Guaraní', 'Kom', 'Moquoit', 'Wichi']",,,['Argentine Spanish']
Algeria,45400000,0.566,2022-01-01,"['Arabic', 'Tamazight']",,,"['Arabic', 'Tamazight']",['French']
Sudan,45191510,0.564,2023-02-28,"['Arabic', 'English']",,,,
Uganda,42885900,0.535,2021-07-01,"['English', 'Swahili']",,,,
Iraq,41190700,0.514,2021-07-01,"['Arabic', 'Kurdish']","['Armenian recognized', 'Assyrian Neo-Aramaic', 'Iraqi Turkmen', 'Kurdish']",,,
Ukraine,41130432,0.513,2022-02-01,['Ukrainian'],"['Russian', 'Crimean Tatar']",,,
Canada,39131255,0.488,2023-02-28,"['English', 'French']","['Chipewyan', 'Cree', ""Gwich'in"", 'Inuinnaqtun', 'Inuktitut', 'Inuvialuktun', 'North Slavey', 'South Slavey', 'Tłı̨chǫ']","['Chipewyan', 'Cree', ""Gwich'in"", 'Inuinnaqtun', 'Inuktitut', 'Inuvialuktun', 'North Slavey', 'South Slavey', 'Tłı̨chǫ']",,
Poland,37767000,0.471,2022-12-31,['Polish'],['Kashubian'],"['German', 'Lithuanian', 'Belarusian', 'Czech', 'Hebrew', 'Yiddish', 'Lemko', 'Karaim', 'Armenian', 'Romani', 'Russian', 'Slovak', 'Tatar', 'Ukrainian']",,
Morocco,36880789,0.46,2023-02-28,"['Arabic', 'Tamazight']",,,['Arabic'],['Darija']
Uzbekistan,36078103,0.45,2023-02-28,['Uzbek'],,"['Uzbek', 'Karakalpak and Uzbek in Karakalpakstan']",,['Russian']
Yemen,33697000,0.42,2022-07-01,['Arabic'],,"['Mehri', 'Soqotri']",,
Peru,33396698,0.417,2022-07-01,"['Peruvian Spanish', 'Quechua', 'Aymara', 'Asháninka']",,,,
Angola,33086278,0.413,2022-06-30,['Portuguese'],,,"['Kimbundu', 'Umbundu', 'Kikongo', 'Chokwe', 'Kwanyama', 'Ganguela']",['Angolan Portuguese']
Afghanistan,32890171,0.41,2020-07-01,"['Persian', 'Pashto']","['Uzbek', 'Turkmen', 'Pashayi', 'Nuristani', 'Balochi', 'Pamiri']",,"['Persian', 'Pashto']",['Persian']
Malaysia,32773200,0.409,2023-02-28,['Malay'],['Regional/State dialects'],,['Malay'],"['Malay', 'Mandarin Chinese', 'Cantonese', 'Tamil']"
Mozambique,32419747,0.404,2022-07-01,['Portuguese'],,,,
Ghana,30832019,0.385,2021-06-27,['English'],"['Fante', 'Asante Twi', 'Akuapem Twi', 'Adangme', 'Dagaare', 'Dagbani', 'Ewe', 'Ga', 'Gonja', 'Kasem', 'Nzema']",,,
Nepal,29192480,0.364,2021-11-11,['Nepali'],,,['all languages spoken as the mother tongue in Nepal'],
Venezuela,28302000,0.353,2022-07-01,"['Spanish', 'Venezuelan Sign Language']",,,,
Madagascar,26923353,0.336,2021-07-01,"['French', 'Malagasy']",,,['Malagasy'],
Australia,26057157,0.325,2023-02-28,['None'],['Norfuk language'],,,
Cameroon,24348251,0.304,2019-07-01,"['English', 'French']",,,,
Niger,24112753,0.301,2021-07-01,['French'],,,"['Arabic', 'Hausa', 'Fulfulde', 'Gulmancema', 'Kanuri', 'Zarma', 'Tamazight']",
Taiwan,23375314,0.292,2021-12-31,['None'],,,"['Taiwanese Mandarin', 'Taiwanese Hokkien', 'Taiwanese Hakka', 'Formosan languages', 'Taiwan Sign Language', 'Matsu dialect', 'Wuqiu dialect']",
Mali,22594000,0.282,2022-07-01,['French'],['Tamazight'],,,
Syria,22125000,0.276,2021-07-01,['Arabic'],['Kurdish'],"['Assyrian', 'Western Neo-Aramaic', 'Armenian']",,
Malawi,21507723,0.268,2022-07-01,"['English', 'Chichewa']",,,['Chichewa'],
Chile,19828563,0.247,2022-06-30,['Chilean Spanish'],,,['Chilean Spanish'],
Zambia,19610769,0.245,2022-09-14,['English'],,,,
Kazakhstan,19421696,0.242,2023-02-28,"['Kazakh', 'Russian']",,,['Kazakh'],
Romania,19053815,0.238,2022-07-17,['Romanian'],,"['Armenian', 'German', 'Hungarian', 'Romani', 'Russian', 'Serbian', 'Slovak', 'Tatar', 'Turkish', 'Ukrainian']",,['Aromanian']
Ecuador,18174636,0.227,2023-02-28,"['Spanish', 'Quechua']",,"['Kichwa', 'Shuar']",,
Netherlands,17800910,0.222,2023-02-28,"['Dutch', 'Frisian']","['English', 'Papiamento']","['Dutch Low Saxon', 'Dutch Sign Language', 'Limburgish', 'Sinte Romani', 'Yiddish']",,
Somalia,17598000,0.22,2021-07-01,['Arabic'],,,['Somali'],
Senegal,17223497,0.215,2021-07-01,['French'],,,"['Jola-Fogny', 'Mandinka', 'Pulaar', 'Serer', 'Soninke', 'Wolof']",
Guatemala,17109746,0.213,2021-07-01,['Spanish'],,,,
Chad,16818391,0.21,2021-07-01,"['Arabic', 'French']",,,,
Cambodia,15552211,0.194,2019-03-03,['Khmer'],,,,
Zimbabwe,15178979,0.189,2022-04-20,"['Chewa', 'Chibarwe', 'English', 'Kalanga', 'Khoisan', 'Nambya', 'Ndau', 'Ndebele', 'Shangani', 'Shona', 'Sign language', 'Sotho', 'Tonga', 'Tswana', 'Venda', 'Xhosa']",,,,
Rwanda,12955768,0.162,2021-07-01,"['English', 'French', 'Kinyarwanda', 'Swahili']",,,,
Guinea,12907395,0.161,2021-07-01,['French'],,,,"['Fula', 'Maninka', 'Susu']"
Burundi,12574571,0.157,2021-07-01,"['French', 'Kirundi', 'English']",,,['Kirundi'],['Swahili']
Benin,12506347,0.156,2021-07-01,['French'],,,,
Bolivia,12006031,0.15,2022-07-01,"['Castilian', 'Aymara', 'Araona', 'Baure', 'Bésiro', 'Canichana', 'Cavineño', 'Cayubaba', 'Chácobo', 'Chimán', 'Ese Ejja', 'Guaraní', ""Guarasu'we"", 'Guarayu', 'Itonama', 'Leco', 'Machajuyai-Kallawaya', 'Machineri', 'Maropa', 'Mojeño-Ignaciano', 'Mojeño-Trinitario', 'Moré', 'Mosetén', 'Movima', 'Pacawara', 'Puquina', 'Quechua', 'Sirionó', 'Tacana', 'Tapieté', 'Toromona', 'Uru-Chipaya', 'Weenhayek', 'Yaminawa', 'Yuki', 'Yuracaré', 'Zamuco']",,,,
Tunisia,11803588,0.147,2022-01-01,['Arabic'],,,['Arabic'],['Tunisian']
Haiti,11743017,0.147,2020-07-01,"['French', 'Haitian Creole']",,,,
Belgium,11730564,0.146,2022-11-01,"['Dutch', 'French', 'German']","['Dutch', 'French', 'German']",,,
Jordan,11418284,0.142,2023-02-28,['Arabic'],,"['Circassian', 'Chechen', 'Armenian']",,
Cuba,11113215,0.139,2021-12-31,['Spanish'],,,,
Sweden,10521556,0.131,2022-12-31,['Swedish'],,"['Finnish', 'Sami']",,"['English', 'Romani', 'Yiddish']"
Greece,10432481,0.13,2021-11-23,['Greek'],,,,
Portugal,10344802,0.129,2021-04-19,['Portuguese'],['Mirandese'],,,
